epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.669,2.65448,6.82349,1.12055,0.46164,0.15246,0.09337,0.02924,2.50403,6.15163,1.08945,0.0670446,0.000332883,0.000332883
2,647.917,2.54577,6.0537,1.07961,0.82472,0.17526,0.16454,0.0623,2.25741,5.35486,1.04271,0.0340444,0.000666053,0.000666053
3,916.092,2.46507,5.77663,1.0614,0.61682,0.20911,0.17495,0.06824,2.19389,5.23174,1.02289,0.00104362,0.000998573,0.000998573
4,1180.79,2.44067,5.67967,1.05711,0.60672,0.22686,0.17753,0.0697,2.20544,5.08506,1.04195,0.000997803,0.000997803,0.000997803
5,1444.8,2.42272,5.56747,1.04967,0.6716,0.21323,0.19441,0.0748,2.21585,5.02111,1.0345,0.000996097,0.000996097,0.000996097
6,1708.87,2.39356,5.48791,1.05056,0.66534,0.2305,0.1891,0.07241,2.17427,5.06351,1.01673,0.000993906,0.000993906,0.000993906
7,1974.34,2.3804,5.39825,1.04314,0.58454,0.21539,0.18857,0.07285,2.19763,5.07637,1.01828,0.000991232,0.000991232,0.000991232
8,2240.51,2.33566,5.2817,1.03949,0.81642,0.2233,0.21863,0.08797,2.11478,4.95633,1.01009,0.000988079,0.000988079,0.000988079
9,2523.12,2.33084,5.29245,1.03713,0.6318,0.24153,0.22297,0.09172,2.12123,4.81214,1.01243,0.000984449,0.000984449,0.000984449
10,2810.49,2.31853,5.2445,1.03563,0.59893,0.2316,0.21481,0.0845,2.17838,5.03323,1.01522,0.000980345,0.000980345,0.000980345
11,3086.37,2.31812,5.17029,1.03044,0.75511,0.25145,0.22892,0.09571,2.08658,4.69256,1.00884,0.000975773,0.000975773,0.000975773
12,3388.63,2.30582,5.17697,1.0302,0.63629,0.25084,0.22572,0.09435,2.09104,4.76011,1.00561,0.000970736,0.000970736,0.000970736
13,3657.1,2.28626,5.08067,1.02735,0.74063,0.24489,0.24181,0.10108,2.07807,4.67973,1.00642,0.000965239,0.000965239,0.000965239
14,3925.32,2.30905,5.11505,1.02861,0.74534,0.24914,0.24665,0.1016,2.06696,4.60529,1.00444,0.000959289,0.000959289,0.000959289
15,4192.93,2.29035,5.09866,1.02811,0.65,0.25298,0.24466,0.09894,2.1183,4.77565,1.00258,0.000952889,0.000952889,0.000952889
16,4461.02,2.27784,5.08782,1.02498,0.61237,0.24685,0.23764,0.10053,2.0747,4.76693,1.00284,0.000946048,0.000946048,0.000946048
17,4729.71,2.25379,5.01312,1.02137,0.63969,0.2656,0.23856,0.10048,2.03927,4.63198,0.99147,0.000938772,0.000938772,0.000938772
18,5003.6,2.26123,4.99921,1.02072,0.65397,0.25935,0.23874,0.09985,2.11705,4.6273,0.99496,0.000931067,0.000931067,0.000931067
19,5284.31,2.24996,4.97511,1.01979,0.69476,0.2733,0.26501,0.10933,2.06287,4.61219,0.99826,0.000922942,0.000922942,0.000922942
