epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,544.327,1.85547,5.60871,1.18357,0.44774,0.48594,0.44562,0.24703,1.96843,7.21601,1.28297,0.0670366,0.000332964,0.000332964
2,1065.32,1.74259,4.61588,1.1464,0.61386,0.52397,0.49762,0.25825,1.95734,6.34383,1.27989,0.0340365,0.000666184,0.000666184
3,1587.38,1.68581,4.31137,1.118,0.54917,0.53105,0.50475,0.26752,2.00729,7.12475,1.25687,0.00103591,0.000998952,0.000998952
4,2106.45,1.64151,4.00766,1.10167,0.70157,0.57334,0.57823,0.32296,1.86223,6.45448,1.23732,0.000998474,0.000998474,0.000998474
5,2624.53,1.6112,3.99276,1.09359,0.72729,0.57644,0.59938,0.33888,1.83982,6.41165,1.20844,0.000997288,0.000997288,0.000997288
6,3143.19,1.58221,3.78772,1.07875,0.69493,0.57969,0.58129,0.32371,1.86979,5.64414,1.23773,0.000995765,0.000995765,0.000995765
7,3665.97,1.53746,3.58836,1.06324,0.74602,0.59991,0.62744,0.35731,1.79219,5.15695,1.20074,0.000993906,0.000993906,0.000993906
8,4183.26,1.51858,3.45715,1.05429,0.73722,0.59958,0.63277,0.35715,1.81866,5.36763,1.19988,0.000991711,0.000991711,0.000991711
9,4706.16,1.49106,3.38999,1.04926,0.75833,0.60326,0.63504,0.36929,1.77551,5.44222,1.18454,0.000989183,0.000989183,0.000989183
10,5224.54,1.4732,3.34974,1.04108,0.75453,0.60388,0.63952,0.37121,1.76879,5.23174,1.17489,0.000986323,0.000986323,0.000986323
11,5747.75,1.47289,3.35673,1.04138,0.75468,0.61819,0.64135,0.37269,1.7803,5.36158,1.17751,0.000983133,0.000983133,0.000983133
12,6268.25,1.45594,3.24286,1.03488,0.75481,0.61793,0.64802,0.38025,1.75574,5.38634,1.16385,0.000979616,0.000979616,0.000979616
13,6788.92,1.44934,3.16841,1.02703,0.73883,0.6289,0.64568,0.38786,1.72426,5.22093,1.15089,0.000975773,0.000975773,0.000975773
14,7306.87,1.4414,3.15331,1.02357,0.74932,0.62724,0.64639,0.38652,1.73266,5.35671,1.16548,0.000971608,0.000971608,0.000971608
15,7827.87,1.42961,3.11812,1.0228,0.76563,0.6415,0.66395,0.3968,1.72297,5.03084,1.14799,0.000967122,0.000967122,0.000967122
16,8347.93,1.4371,3.14915,1.0231,0.74033,0.62428,0.64208,0.38568,1.72876,5.18862,1.16082,0.00096232,0.00096232,0.00096232
17,8870.74,1.40216,3.05195,1.01241,0.75264,0.62915,0.65332,0.3903,1.73243,4.95825,1.1568,0.000957205,0.000957205,0.000957205
18,9390.7,1.39255,2.99076,1.01014,0.76186,0.63752,0.66002,0.40327,1.68991,5.13544,1.15145,0.00095178,0.00095178,0.00095178
19,9911.99,1.39527,2.99873,1.00625,0.74258,0.61781,0.63838,0.38506,1.72647,5.30753,1.16901,0.000946048,0.000946048,0.000946048
20,10429.3,1.37607,2.91427,1.00599,0.75331,0.63993,0.66695,0.39611,1.72218,5.07782,1.14518,0.000940014,0.000940014,0.000940014
21,10952.7,1.3829,2.92987,1.00835,0.74925,0.6437,0.6632,0.40871,1.70258,5.31973,1.14337,0.000933683,0.000933683,0.000933683
22,11467.7,1.37431,2.92093,1.00615,0.75136,0.64286,0.65537,0.39816,1.71155,5.19119,1.15477,0.000927057,0.000927057,0.000927057
23,11988.3,1.36844,2.92527,1.0024,0.74829,0.64524,0.66517,0.4023,1.69823,5.19572,1.13267,0.000920142,0.000920142,0.000920142
24,12508.6,1.37248,2.91842,1.00606,0.74585,0.64487,0.66663,0.39771,1.71256,4.96153,1.14013,0.000912942,0.000912942,0.000912942
25,13033.5,1.36864,2.89522,1.00209,0.76217,0.64816,0.66905,0.40415,1.70095,5.14057,1.13373,0.000905463,0.000905463,0.000905463
26,13552.5,1.34473,2.82838,0.99309,0.76711,0.65393,0.6808,0.4172,1.67312,5.17958,1.13295,0.00089771,0.00089771,0.00089771
27,14074.3,1.3548,2.8399,0.99359,0.77103,0.64667,0.6789,0.42045,1.67007,5.03969,1.12649,0.000889687,0.000889687,0.000889687
28,14592.7,1.33633,2.79703,0.99126,0.78995,0.65766,0.68653,0.42896,1.64975,4.65115,1.11223,0.000881401,0.000881401,0.000881401
29,15112.4,1.33745,2.80489,0.99178,0.77088,0.65409,0.68424,0.4237,1.64905,4.65274,1.10946,0.000872857,0.000872857,0.000872857
30,15632.9,1.332,2.78033,0.98888,0.77622,0.6519,0.6851,0.42319,1.66624,4.76388,1.11861,0.00086406,0.00086406,0.00086406
31,16152.4,1.32409,2.72282,0.98498,0.79557,0.6574,0.69532,0.43591,1.65917,4.81442,1.12462,0.000855018,0.000855018,0.000855018
32,16746.1,1.31855,2.72115,0.98709,0.7704,0.66111,0.68344,0.42417,1.65638,4.83161,1.1278,0.000845736,0.000845736,0.000845736
33,17270.9,1.31876,2.73394,0.98581,0.78556,0.65206,0.69418,0.43345,1.6663,4.68516,1.13353,0.00083622,0.00083622,0.00083622
34,17791,1.31277,2.68601,0.98226,0.78446,0.64564,0.69163,0.43522,1.64214,4.68297,1.11777,0.000826477,0.000826477,0.000826477
35,18310.4,1.29942,2.65485,0.97772,0.79547,0.65385,0.69731,0.43569,1.63652,4.57147,1.10479,0.000816514,0.000816514,0.000816514
36,18830,1.30744,2.66696,0.98087,0.78064,0.66105,0.69338,0.43694,1.63984,4.67401,1.1076,0.000806337,0.000806337,0.000806337
37,19347.8,1.29923,2.62653,0.97789,0.80054,0.65711,0.69698,0.44092,1.66249,4.51267,1.11648,0.000795954,0.000795954,0.000795954
38,19866.9,1.29921,2.65452,0.97828,0.7921,0.65434,0.69169,0.43514,1.64532,4.52597,1.10188,0.000785371,0.000785371,0.000785371
39,20387.1,1.28475,2.61089,0.97462,0.78687,0.65499,0.69342,0.43858,1.61764,4.64622,1.10755,0.000774596,0.000774596,0.000774596
40,20906.8,1.29195,2.61621,0.97731,0.78811,0.65599,0.69658,0.43798,1.62787,4.57262,1.09734,0.000763637,0.000763637,0.000763637
41,21427.7,1.29502,2.5956,0.9744,0.78871,0.65873,0.69491,0.43606,1.62527,4.49408,1.09287,0.0007525,0.0007525,0.0007525
42,21949.7,1.28632,2.61143,0.97681,0.80573,0.66075,0.70292,0.44375,1.62043,4.39464,1.10112,0.000741194,0.000741194,0.000741194
43,22468.2,1.27079,2.5671,0.96993,0.78455,0.66743,0.70267,0.44474,1.61311,4.55982,1.09269,0.000729725,0.000729725,0.000729725
44,22986.9,1.28095,2.56521,0.97271,0.7907,0.66212,0.69404,0.43458,1.60744,4.35859,1.08505,0.000718103,0.000718103,0.000718103
45,23504.8,1.26809,2.55214,0.97275,0.78994,0.66989,0.70208,0.43592,1.62446,4.28535,1.09618,0.000706335,0.000706335,0.000706335
46,24027.3,1.276,2.52401,0.96874,0.79912,0.66423,0.70298,0.44258,1.62776,4.22048,1.08494,0.000694428,0.000694428,0.000694428
47,24547.2,1.26776,2.51699,0.96657,0.78766,0.66231,0.70258,0.44574,1.61645,4.23184,1.08497,0.000682392,0.000682392,0.000682392
48,25067.1,1.26084,2.52951,0.96778,0.79714,0.66341,0.70304,0.44008,1.61162,4.26039,1.08969,0.000670234,0.000670234,0.000670234
49,25584.6,1.25896,2.51138,0.96669,0.79693,0.65964,0.706,0.451,1.61377,4.14023,1.0789,0.000657963,0.000657963,0.000657963
50,26105.4,1.24681,2.4603,0.96595,0.79288,0.66924,0.70341,0.44787,1.60364,4.16988,1.0764,0.000645588,0.000645588,0.000645588
51,26625,1.24392,2.4731,0.96196,0.79561,0.6677,0.70762,0.44744,1.6131,4.5333,1.1023,0.000633115,0.000633115,0.000633115
52,27146.8,1.25036,2.46186,0.96426,0.79511,0.66985,0.70505,0.45235,1.59096,4.23171,1.08178,0.000620555,0.000620555,0.000620555
53,27664.1,1.24139,2.42677,0.95836,0.80035,0.67379,0.71054,0.45381,1.60321,4.3368,1.09042,0.000607916,0.000607916,0.000607916
54,28185.2,1.23687,2.41406,0.95583,0.79945,0.66739,0.70614,0.45083,1.59178,4.37972,1.08226,0.000595207,0.000595207,0.000595207
55,28703.4,1.23203,2.40002,0.95474,0.79672,0.6671,0.70515,0.44891,1.59749,4.4152,1.08273,0.000582435,0.000582435,0.000582435
56,29223.4,1.23469,2.40924,0.95878,0.79779,0.67058,0.7104,0.45464,1.59128,4.28745,1.08176,0.00056961,0.00056961,0.00056961
57,29743.6,1.23624,2.41249,0.95986,0.79472,0.66732,0.70729,0.4505,1.61262,4.32443,1.08485,0.000556742,0.000556742,0.000556742
58,30263.5,1.23121,2.39187,0.95566,0.79802,0.66962,0.71012,0.45392,1.59302,4.35228,1.08567,0.000543837,0.000543837,0.000543837
59,30785,1.22346,2.38024,0.95694,0.79932,0.66903,0.70789,0.45398,1.58972,4.20399,1.08406,0.000530906,0.000530906,0.000530906
60,31303.3,1.21488,2.35051,0.95275,0.79887,0.66394,0.71093,0.45468,1.60897,4.26181,1.08209,0.000517958,0.000517958,0.000517958
61,31832.2,1.21467,2.32299,0.94926,0.79886,0.67199,0.71398,0.46096,1.58762,4.19215,1.08026,0.000505,0.000505,0.000505
62,32350.5,1.19921,2.31133,0.9485,0.81276,0.66984,0.71829,0.46215,1.60709,4.10188,1.08047,0.000492042,0.000492042,0.000492042
63,32867.1,1.21502,2.31388,0.94842,0.79884,0.67396,0.71301,0.4558,1.59259,4.30664,1.08169,0.000479094,0.000479094,0.000479094
64,33385.4,1.20809,2.30437,0.94751,0.80795,0.6751,0.72027,0.46185,1.58626,4.19681,1.08201,0.000466163,0.000466163,0.000466163
65,33900.6,1.19924,2.29284,0.94624,0.80885,0.67158,0.71675,0.4605,1.5903,4.25231,1.08208,0.000453258,0.000453258,0.000453258
66,34418.1,1.20605,2.31671,0.948,0.80076,0.67302,0.71454,0.46166,1.57965,4.30824,1.08018,0.00044039,0.00044039,0.00044039
67,34932.7,1.19771,2.27667,0.9477,0.80822,0.67237,0.71584,0.46359,1.57267,4.15264,1.06571,0.000427565,0.000427565,0.000427565
68,35450.4,1.19759,2.27059,0.94335,0.80748,0.66641,0.71498,0.46434,1.5736,4.22577,1.07304,0.000414793,0.000414793,0.000414793
69,35971.7,1.19321,2.27087,0.94452,0.80443,0.67427,0.71583,0.46213,1.5878,4.23332,1.0792,0.000402084,0.000402084,0.000402084
70,36482.7,1.1822,2.24052,0.94173,0.80464,0.66906,0.71682,0.46356,1.57402,4.1919,1.07205,0.000389445,0.000389445,0.000389445
71,37002.1,1.19326,2.26306,0.94459,0.7987,0.67359,0.71676,0.46533,1.57935,4.23389,1.07548,0.000376885,0.000376885,0.000376885
72,37550.1,1.1822,2.23071,0.94086,0.8078,0.67022,0.71657,0.46475,1.58817,4.27905,1.08162,0.000364412,0.000364412,0.000364412
73,38117.9,1.18496,2.25743,0.94029,0.80978,0.6702,0.71469,0.46461,1.58967,4.27542,1.07811,0.000352037,0.000352037,0.000352037
74,38639.7,1.1888,2.23685,0.94167,0.80824,0.66922,0.71327,0.46156,1.60577,4.23557,1.08461,0.000339766,0.000339766,0.000339766
75,39160.2,1.18518,2.23085,0.94243,0.80817,0.67344,0.71675,0.46472,1.59049,4.20521,1.07853,0.000327608,0.000327608,0.000327608
76,39679,1.17593,2.1939,0.93925,0.80749,0.67367,0.71684,0.46538,1.58842,4.12414,1.07593,0.000315572,0.000315572,0.000315572
77,40196.8,1.17335,2.19094,0.93859,0.80855,0.67185,0.71591,0.46509,1.57903,4.1869,1.07168,0.000303665,0.000303665,0.000303665
78,40715.3,1.17347,2.20881,0.93802,0.8042,0.67464,0.71685,0.46305,1.59061,4.20836,1.07926,0.000291897,0.000291897,0.000291897
79,41235.2,1.1641,2.18433,0.93875,0.80699,0.67836,0.71922,0.46701,1.58516,4.21083,1.08381,0.000280275,0.000280275,0.000280275
80,41762.1,1.15441,2.15593,0.93581,0.80691,0.67411,0.71768,0.46598,1.58262,4.2199,1.08258,0.000268806,0.000268806,0.000268806
81,42281.5,1.15604,2.15041,0.93374,0.81087,0.67565,0.71847,0.46561,1.58577,4.19585,1.08105,0.0002575,0.0002575,0.0002575
82,42802.5,1.16377,2.14988,0.93208,0.8055,0.67628,0.71573,0.46677,1.57862,4.22125,1.07736,0.000246363,0.000246363,0.000246363
83,43319.4,1.15186,2.12025,0.93119,0.80354,0.67628,0.71746,0.46678,1.57859,4.24844,1.07872,0.000235404,0.000235404,0.000235404
84,43846,1.15418,2.16058,0.93777,0.80849,0.67565,0.72032,0.46816,1.5742,4.20724,1.07355,0.000224629,0.000224629,0.000224629
85,44398.4,1.16111,2.14044,0.93456,0.80838,0.67535,0.72008,0.46952,1.58235,4.1856,1.07172,0.000214046,0.000214046,0.000214046
86,44918.3,1.14593,2.11485,0.93444,0.80694,0.67886,0.71949,0.46956,1.57506,4.12992,1.06884,0.000203663,0.000203663,0.000203663
87,45435,1.15229,2.11711,0.93094,0.80576,0.67697,0.7179,0.46696,1.56703,4.1915,1.06906,0.000193486,0.000193486,0.000193486
88,45951.4,1.15031,2.12409,0.93371,0.80164,0.67863,0.71843,0.46909,1.57001,4.15017,1.06841,0.000183523,0.000183523,0.000183523
89,46468.5,1.15142,2.14682,0.93505,0.80422,0.67594,0.71606,0.46734,1.57619,4.21369,1.07326,0.00017378,0.00017378,0.00017378
90,46985.4,1.14772,2.10364,0.92965,0.80796,0.67703,0.71864,0.46898,1.58804,4.21416,1.07166,0.000164264,0.000164264,0.000164264
91,47497.3,1.13614,2.0737,0.92601,0.8077,0.67624,0.71754,0.46768,1.58129,4.20866,1.06972,0.000154982,0.000154982,0.000154982
92,48010.4,1.13647,2.08589,0.92883,0.80519,0.67677,0.71846,0.46854,1.58124,4.20304,1.07443,0.00014594,0.00014594,0.00014594
93,48527.5,1.12868,2.06261,0.92862,0.80939,0.67723,0.71926,0.46902,1.58503,4.21342,1.07574,0.000137143,0.000137143,0.000137143
94,49044.3,1.14137,2.08931,0.92872,0.80512,0.67893,0.71861,0.46751,1.58502,4.18229,1.07398,0.000128599,0.000128599,0.000128599
95,49563.7,1.12737,2.06649,0.92703,0.80721,0.67631,0.71867,0.4684,1.58739,4.19339,1.0734,0.000120313,0.000120313,0.000120313
96,50081.3,1.12385,2.05642,0.92524,0.80793,0.67686,0.71895,0.46832,1.5881,4.23191,1.07598,0.00011229,0.00011229,0.00011229
97,50593.1,1.13859,2.07282,0.92724,0.80838,0.67325,0.71812,0.46788,1.58878,4.25506,1.07598,0.000104537,0.000104537,0.000104537
98,51109.6,1.13106,2.05702,0.92727,0.80711,0.67393,0.71817,0.46869,1.58892,4.23097,1.07518,9.70575e-05,9.70575e-05,9.70575e-05
99,51630.7,1.12223,2.03481,0.92635,0.80448,0.6724,0.71717,0.46863,1.58597,4.26316,1.07532,8.98581e-05,8.98581e-05,8.98581e-05
100,52147.4,1.12044,2.0272,0.92483,0.80573,0.67301,0.71652,0.46849,1.5875,4.22896,1.07501,8.29431e-05,8.29431e-05,8.29431e-05
