epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.916,2.75673,7.07062,1.13628,0.24397,0.26588,0.16765,0.05936,2.37501,5.8475,1.0539,0.0671071,0.000332251,0.000332251
2,229.572,2.60017,6.21411,1.08081,0.35869,0.26631,0.19024,0.06812,2.39032,6.0552,1.05994,0.034107,0.000665422,0.000665422
3,339.271,2.57072,5.78954,1.07406,0.28422,0.27417,0.15774,0.05362,2.41631,6.60003,1.0564,0.00110617,0.000997942,0.000997942
4,448.221,2.53272,5.67212,1.06265,0.2587,0.3602,0.19638,0.06718,2.45993,5.41246,1.0655,0.000997803,0.000997803,0.000997803
5,557.61,2.49902,5.50306,1.05175,0.30746,0.40122,0.2733,0.10023,2.22519,5.02214,1.03204,0.000996097,0.000996097,0.000996097
6,665.889,2.44594,5.40724,1.03887,0.27,0.39441,0.2503,0.09076,2.19962,5.00704,1.0249,0.000993906,0.000993906,0.000993906
7,774.12,2.42837,5.33786,1.0378,0.32064,0.37089,0.24916,0.09054,2.26383,5.02577,1.02548,0.000991232,0.000991232,0.000991232
8,882.471,2.39679,5.32193,1.0337,0.37131,0.40406,0.30761,0.11345,2.15901,4.81406,1.01158,0.000988079,0.000988079,0.000988079
9,991.033,2.37102,5.15056,1.03107,0.37422,0.39238,0.30973,0.11996,2.14738,4.8067,1.01131,0.000984449,0.000984449,0.000984449
10,1099.44,2.36899,5.14864,1.02484,0.30244,0.3976,0.2593,0.09498,2.17143,5.01283,1.01442,0.000980345,0.000980345,0.000980345
11,1208.07,2.3403,5.18514,1.0289,0.35181,0.48152,0.32535,0.12209,2.11931,4.87731,1.00252,0.000975773,0.000975773,0.000975773
12,1315.4,2.34787,5.06359,1.02387,0.3254,0.41441,0.30357,0.11588,2.11404,4.77585,1.00059,0.000970736,0.000970736,0.000970736
13,1423.4,2.33536,5.02043,1.02749,0.37311,0.45739,0.33326,0.12839,2.16557,4.71052,1.01336,0.000965239,0.000965239,0.000965239
14,1532.04,2.31185,4.9532,1.02209,0.3558,0.40488,0.3121,0.12005,2.17222,4.70682,1.01806,0.000959289,0.000959289,0.000959289
15,1641.08,2.34854,5.01239,1.01946,0.34802,0.40802,0.31738,0.12488,2.11751,4.66325,0.99661,0.000952889,0.000952889,0.000952889
16,1750.12,2.32748,4.93531,1.02159,0.35838,0.45316,0.3407,0.13029,2.13807,4.7897,1.00338,0.000946048,0.000946048,0.000946048
17,1859.8,2.28767,4.93997,1.01595,0.38422,0.45158,0.33251,0.12419,2.17112,4.72163,1.00748,0.000938772,0.000938772,0.000938772
18,1972.48,2.3034,4.88494,1.01349,0.36444,0.4859,0.35498,0.13758,2.08236,4.53943,0.99139,0.000931067,0.000931067,0.000931067
19,2088.25,2.31305,4.87467,1.01142,0.41397,0.50752,0.3811,0.14864,2.08111,4.47673,0.99705,0.000922942,0.000922942,0.000922942
20,2203.59,2.26507,4.80598,1.00497,0.38394,0.48885,0.35014,0.13439,2.10128,4.5695,0.99799,0.000914405,0.000914405,0.000914405
21,2319.56,2.29697,4.84582,1.01284,0.4003,0.4791,0.36372,0.14178,2.1164,4.55114,1.00701,0.000905463,0.000905463,0.000905463
22,2434.3,2.25218,4.76661,1.01171,0.39576,0.51303,0.3909,0.14999,2.08194,4.4608,0.99642,0.000896127,0.000896127,0.000896127
23,2550.21,2.31231,4.87873,1.01185,0.37038,0.51568,0.38354,0.14681,2.08573,4.74199,0.99928,0.000886404,0.000886404,0.000886404
24,2664.59,2.276,4.76427,1.00808,0.37019,0.54699,0.38655,0.14949,2.0755,4.53642,0.99152,0.000876305,0.000876305,0.000876305
25,2780.95,2.24638,4.73894,1.00398,0.38731,0.51203,0.38432,0.14866,2.0844,4.46749,0.99307,0.000865839,0.000865839,0.000865839
26,2896.57,2.24981,4.69234,1.00998,0.42027,0.53303,0.38912,0.14941,2.05087,4.59057,0.99391,0.000855018,0.000855018,0.000855018
27,3012.31,2.25376,4.70547,1.00829,0.4066,0.50601,0.38194,0.15371,2.07384,4.40558,0.99436,0.000843851,0.000843851,0.000843851
28,3127.92,2.22688,4.68776,1.00378,0.4172,0.50358,0.38405,0.15147,2.05059,4.48988,0.9905,0.000832349,0.000832349,0.000832349
29,3243.31,2.23987,4.65478,0.99757,0.40137,0.4908,0.37228,0.14913,2.07833,4.45172,0.99389,0.000820525,0.000820525,0.000820525
30,3358.64,2.22631,4.66905,1.00028,0.42286,0.51445,0.40747,0.16088,2.04931,4.48647,0.98852,0.000808389,0.000808389,0.000808389
31,3473.97,2.23981,4.70603,1.00462,0.43613,0.52359,0.39852,0.15776,2.05471,4.5079,0.99629,0.000795954,0.000795954,0.000795954
32,3589.82,2.22041,4.66722,1.0004,0.42302,0.52186,0.39088,0.14923,2.07428,4.39922,0.99351,0.000783231,0.000783231,0.000783231
